Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Shandong Jinguan Metallurgical Technology Co Ltd,2810.0,1,1,1,9904946687.227655,Shandong Jinguan Metallurgical Technology Co Ltd,37.449126,116.396787
Fangda Special Steel Technology Co Ltd,2800.0,1,1,1,30850521591.191532,Fangda Special Steel Technology Co Ltd,28.645441,115.99204
Yingkou Iron & Steel Co Ltd,2800.0,1,1,1,758099574.9849542,Yingkou Iron and Steel Co Ltd,40.664651,122.415057
Liyang Baorun Steel Co Ltd,2760.0,1,1,1,5294448729.56292,Liyang Baorun Steel Co Ltd,31.471123,119.485941
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,2750.0,2,1,1,3553105312.443734,Hebei Xin Wuan Steel Group Wenan Iron and Steel Co Ltd,36.679431,114.169024
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2750.0,1,1,1,31013010.919899933,Xinjiang Tianshan Iron and Steel Bazhou Co Ltd,42.333321,86.302481
MZ Balakovo JSC,2750.0,1,1,1,,Balakovo Steel Plant,51.936009,47.81591
Linyi Jiangxin Steel Co Ltd,2700.0,1,1,1,7972147725.823803,Linyi Jiangxin Iron and Steel Co Ltd,34.951117,118.305389
Shandong Xinhua Special Steel Group Co Ltd,2700.0,1,1,1,783615313.084411,Shandong Xinhua Special Steel Group Co Ltd,36.256175,116.179833
Anhui Guihang Special Steel Co Ltd,2700.0,1,1,1,189683194.67400867,Anhui Guihang Special Steel Co Ltd,30.531068,117.251147
Jiangsu Shente Steel Corp,2700.0,1,1,1,5294448729.56292,Jiangsu Shente Steel Co Ltd,31.471123,119.485941
Jilin Jianlong Steel Co Ltd,2700.0,1,1,1,133726064.71790448,Jilin Jianlong Steel Co Ltd,44.011951,126.537086
Shandong Laigang Yongfeng Steel Corp,2700.0,1,1,1,2781115807.54017,Shandong Laigang Yongfeng Steel Co Ltd,36.7993,116.8026
Shandong Chuanyang Group Co Ltd,2700.0,1,1,1,3677756121.979178,Shandong Chuanyang Group Co Ltd,36.894784,117.888366
Shanxi Gaoyi Steel Co Ltd,2700.0,1,1,1,2190467911.060826,Shanxi Gaoyi Steel Co Ltd,35.586841,111.258436
Shandong Iron Steel Group Yongfeng Zibo Co Ltd,2700.0,1,1,1,5698841287.0221615,Shandong Iron and Steel Group Yongfeng Zibo Co Ltd,36.906036,118.111833
Chifeng Zhongtang Special Steel Co Ltd,2700.0,1,1,1,14520160.651008502,Chifeng Zhongtang Special Steel Co Ltd,41.834064,119.281883
Fulun Iron & Steel Co Ltd,2700.0,1,1,1,792299266.5563575,Shandong Fulun Iron and Steel Co Ltd,36.308447,117.540425
GFG Alliance Ltd,2700.0,1,1,1,,GFG Liberty Steel Australia Whyalla steel plant,-33.009381,137.587836
Linyi Iron and Steel Investment Group Co Ltd,2700.0,1,1,1,212520272.51501238,Linyi Iron and Steel Investment Group Special Steel Co Ltd,35.15735,119.133999
Tongling City Xuanli Special Steel Co Ltd,2700.0,1,1,1,322755495.5135918,Tongling Xuanli Special Steel Co Ltd,31.062807,117.956015
Tosyali Sulb Steel Industries Joint Company,2700.0,1,1,1,,Tosyali-SULB Benghazi steel plant,32.1818,20.124361
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695.0,1,1,1,278283618.2820494,Dongbei Special Steel Group Dalian Special Steel Co Ltd,39.193697,122.057788
Anyuan Iron & Steel Co Ltd,2650.0,1,1,1,7940031421.185044,Pingxiang Pinggang Anyuan Iron and Steel Co Ltd,27.64555,113.902126
Henan Fengbao SPECIAL Steel Co Ltd,2650.0,1,1,1,1250100343.4634068,Henan Fengbao Special Steel Co Ltd,36.131666,113.872158
Kyoei Steel Ltd,2645.0,3,1,1,33170209963.181366,Kyoei Steel Nagoya Division (Tokai),35.065055,136.815384
Rashmi Green Hydrogen Steel Pvt Ltd,2600.0,1,1,1,1986124537.7752411,Rashmi Green Hydrogen Steel Kharagpur steel plant,22.331489,87.398085
Hydnum Steel SL,2600.0,1,1,1,,Hydnum Steel Castilla-La Mancha plant,38.688849,-4.107015
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,2600.0,1,1,1,240153183.6302977,Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,25.45543,103.547242
ArcelorMittal Duisburg GmbH,2600.0,1,1,1,,ArcelorMittal Duisburg steel plant,51.462987,6.744612
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,2600.0,1,1,1,3691623504.775808,Shagang Group Anyang Yongxing Special Steel Co Ltd,36.143573,114.149964
Daye Huaxin Industrial Co Ltd,2583.0,1,1,1,1002488417.5250294,Daye Huaxin Industrial Co Ltd,30.070219,114.926251
Jianlong Beiman SPECIAL Steel Co Ltd,2570.0,1,1,1,3437488269.916678,Jianlong Beiman Special Steel Co Ltd,47.191285,123.616512
Luannan Huarui Steel Co Ltd,2550.0,1,1,1,1572778754.3996863,Hebei Huaxi Iron and Steel Co Ltd,39.51833,118.715766
Hoa Phat Hai Duong Steel JSC,2525.0,1,1,1,,Hoa Phat Hai Duong Steel plant,21.01536,106.536023
Fujian Yixin Steel & Iron Co Ltd,2510.0,1,1,1,136966250.464103,Fujian Yixin Steel Co Ltd,26.491308,119.63624
Qinyang Hongda Iron & Steel Co Ltd,2500.0,1,1,1,514258504.00895184,Qinyang Hongda Iron & Steel Co Ltd,35.184849,112.902248
Meranti Steel Pte Ltd,2500.0,2,2,2,,Meranti Steel Map Ta Phut plant,12.694465,101.148937
Shanxi Tongde Xinghua Special Steel Co Ltd,2500.0,1,1,1,353310074.948443,Shanxi Tongde Xinghua Special Steel Co Ltd,40.183517,113.305462
Sun Metal Casting LLC,2500.0,1,1,1,,Sun Metals Sur steel plant,22.632992,59.416971
ArcelorMittal SA; Société Nationale Industrielle et Minière SA,2500.0,1,1,1,,ArcelorMittal Mauritania green steel plant,19.513799,-10.553879
Zarand Iranian Steel Co,2500.0,1,1,1,,Zarand Iranian Steel Company Kerman plant,30.749633,56.6675096
Compania Espanola de Laminacion SL,2500.0,1,1,1,,Celsa Barcelona Castellbisbal steel plant,41.454855,1.980107
YunNan Province Tiangao Nickel Alloy Co Ltd,2500.0,1,1,1,229330969.90024498,Yunnan Tiangao Nickel Alloy Co Ltd,24.80128,104.063455
Blastr Green Steel AS,2500.0,1,1,1,,Blastr Inkoo steel plant,60.0175,23.9126
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500.0,1,1,1,1570133414.6514165,Hebei Xinxing Ductile Iron Pipes Co Ltd,36.621504,114.128189
Guangxi Guigang Iron and Steel Group Co Ltd,2500.0,1,1,1,6503602261.824279,Guangxi Guigang Iron and Steel Group Co Ltd,23.088182,109.634638
Guangdong Guoxin Industrial Co Ltd,2500.0,1,1,1,4977101905.5661955,"Guangdong Guoxin Industrial Co., Ltd.",23.407415,116.570818
Anyang Iron & Steel Co Ltd,2500.0,1,1,1,17037663839.757977,Anyang Iron and Steel Co Ltd,36.122129,114.283145
Longnan Fuxin Steel Co Ltd,2500.0,1,1,1,85055828.36295038,Longnan Fuxin Iron and Steel Co Ltd,24.912904,114.844503
Bonab Steel Complex,2500.0,1,1,1,,Bonab Steel Complex,37.417437,46.035778
Acciaierie Venete SpA,2490.0,3,1,1,,Acciaierie Venete Padua steel plant,45.419168,11.906625
Groupe Industriel Sider SpA,2450.0,1,1,1,,Sider El Hadjar Annaba steel plant,36.795924,7.707633
Chifeng Yuanlian Steel Co Ltd,2450.0,1,1,1,1995635766.3421109,Chifeng Yuanlian Steel Co Ltd,42.278115,119.015289
Baotou DA AN IRON&STEEL Co Ltd,2450.0,2,1,1,8439898530.62294,Baotou Da'an Iron and Steel Co Ltd Kundulun District,40.715119,109.821653
SSAB Americas Holding AB,2450.0,2,1,1,,SSAB Americas Alabama steel plant,30.941783,-88.012437
Jayaswal Neco Industries Ltd,2450.0,1,1,1,1676028759.8407507,Jayaswal Neco Industries Raipur steel plant,21.354495,81.676444
Tangshan Zhengfeng Steel Co Ltd,2439.0,1,1,1,2256673828.2882605,Tangshan Zhengfeng Steel Co Ltd,39.85271,118.181279
Arvand Jahanara Steel Co,2400.0,1,1,1,,Arvand Jahanara Steel Khouzestan plant,30.510886,48.241356
Tangshan Jinma Iron & Steel Group Co Ltd,2400.0,1,1,1,1872854078.2187674,Tangshan Jinma Steel Group Co Ltd,39.700499,118.456775
Tangshan Chunxing Special Steel Co Ltd,2400.0,1,1,1,1872854078.2187674,Tangshan Chunxing Special Steel Co Ltd,39.676326,118.427914
Kish South Kaveh Steel Co,2400.0,1,1,1,,Kish South Kaveh Steel Hormuzgan plant,27.169696,56.095207
Orion Steel Group LLC,2400.0,2,2,1,,Orion Regina Steel plant,50.51499,-104.630589
ArcelorMittal Long Products Canada GP,2400.0,1,1,1,,ArcelorMittal Montreal steel plant,45.835148,-73.254957
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400.0,1,1,1,194781090.93254027,Guangdong Nanfang Donghai Iron and Steel Co Ltd,22.907614,112.224952
Yangchun New Iron & Steel Co Ltd,2400.0,1,1,1,126961940.125218,Yangchun New Steel Co Ltd,22.084904,111.642187
Yangzhou Qinyou Special Metal Materials Co Ltd,2400.0,1,1,1,361408387.5824465,Yangzhou Qinyou Special Metal Materials Co Ltd,32.838703,119.425236
Hejin Huaxinyuan Steel & Iron Co Ltd,2350.0,1,1,1,1208145259.4777637,Shanxi Huaxinyuan Steel and Iron Group Co Ltd,35.605506,110.652056
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,2300.0,1,1,1,,MMK Türkiye Metallurgical Payas steel plant,36.768975,36.213842
Sirjan Jahan Steel Co,2300.0,1,1,1,,Jahan Foolad Sirjan Steel Kerman plant,29.13806,55.375073
Zunyi County Fuxin Iron & Steel Product Co Ltd,2260.0,1,1,1,288427354.33009654,Zunyi Fuxin Special Steel Equipment Manufacturing Co Ltd,27.591697,106.815453
Huangshi Xingang Heavy Industry Technology Co Ltd,2250.0,1,1,1,69794425.23817413,Huangshi Xingang Heavy Industry Technology Co Ltd,30.097108,115.284652
Siderca SAIC,2250.0,1,1,1,,TenarisSiderca Campana steel plant,-34.152554,-58.977388
Acciaierie Bertoli Safau SpA,2230.0,1,1,1,,Danieli ABS Pozzuolo del Friuli steel plant,46.008483,13.255117
JFE Bars & Shapes Corp,2220.0,3,1,1,10166868071.82332,JFE Bars & Shapes Himeji Works steel plant,34.784113,134.658493
BMM Ispat Ltd,2208.0,1,1,1,326466748.184155,BMM Ispat Danapur steel plant,15.16972,76.37971
Xiangfen County XinJinShan Special Steel Co Ltd,2200.0,1,1,1,517374334.2584018,Xiangfen County Xinjinshan Special Steel Co Ltd,35.934831,111.49707
Ferriere Nord SpA,2200.0,1,1,1,,Pittini Ferriere Nord Osoppo steel plant,46.232199,13.079104
Zhejiang Yuxin Industrial Co Ltd,2200.0,1,1,1,511578477.6555888,Zhejiang Yuxin Industrial Co Ltd,28.787202,120.248592
Aperam Stainless Belgium NV,2200.0,2,1,1,,Aperam Stainless Belgium Genk steel plant,50.933973,5.511494
HBIS Group Serbia Iron & Steel Beograd doo,2199.0,1,1,1,,HBIS GROUP Serbia Iron & Steel plant Belgrade,44.606332,20.970066
Metallus Inc,2198.0,2,1,1,,Metallus Harrison steel plant,40.778466,-81.396889
SeAH Besteel Holdings Corp,2101.0,1,1,1,,SeAH Besteel Gunsan steel plant,35.968596,126.609524
Anhui Langxi County Fuhang Steel Co Ltd,2100.0,1,1,1,86904812.1034762,Anhui Langxi Hongtai Iron and Steel Co Ltd,31.246635,119.120443
Corporacion Aceros Arequipa SA,2100.0,1,1,1,,Aceros Arequipa Pisco steel plant,-13.788622,-76.168173
Marcegaglia Holding SpA,2100.0,1,1,1,,Marcegaglia Fos Sur Mer steel plant,43.445004,4.846805
Suez Steel Company SAE,2080.0,1,1,1,,Suez Steel Solb Misr Attaka plant,29.927875,32.437744
Guangdong Yuebei United Steel Co Ltd,2055.0,1,1,1,114780320.39245096,Guangdong Yuebei United Steel Co Ltd,24.262452,113.728198
Guangdong Guangqing METAL Technology Co Ltd,2040.0,1,1,1,546325381.749661,Guangdong Guangqing Metal Technology Co Ltd,21.697069,111.848841
Xining Special Steel Co Ltd,2040.0,1,1,1,3718700727.8378444,Xining Special Steel Co Ltd,36.66856,101.671414
Yunnan Qujing Shuangyou Iron and Steel Co Ltd,2030.0,1,1,1,7472321818.171346,Yunnan Qujing Shuangyou Iron and Steel Co Ltd,25.54218,103.781041
Chongqing Zuhang Steel Co Ltd,2020.0,1,1,1,419108487.0652244,Chongqing Zuhang Iron and Steel Co Ltd,29.440056,105.741929
Xinjiang KingTec Steel Co Ltd,2001.0,1,1,1,93932.5409826021,Xinjiang Kingtec Steel Co Ltd,42.674192,86.280156
Heilongjiang Jianlong Iron and Steel Co Ltd,2001.0,1,1,1,125175844.19061546,Heilongjiang Jianlong Iron and Steel Co Ltd,46.602297,131.071877
PT The Master Steel MFG,2000.0,1,1,1,,Master Steel Jakarta Steel plant,-6.18421,106.920067
Alfa Acciai SpA,2000.0,1,1,1,,Alfa Acciai Brescia steel plant,45.508698,10.248464
Guangdong Jingye Iron and Steel Co Ltd,2000.0,1,1,1,7797595936.055308,Guangdong Jingye Iron and Steel Co Ltd,23.454666,116.498483
PT Xinheng Metal Indonesia,2000.0,1,1,1,,PT Xinheng Metal Morowali steel plant,-2.830574,122.157448
Wuhu Xinxing Ductile Iron Pipes Co Ltd,2000.0,1,1,1,1042494789.8844099,Wuhu Xinxing Ductile Iron Pipes Co Ltd,31.229893,118.150867
Xiangfen County Xingyuan Steel Group Co Ltd,2000.0,1,1,1,643103075.7903618,Xiangfen County Xingyuan Steel Group Co Ltd,35.880324,111.387956
Anyang Xinpu Steel Co Ltd,2000.0,1,1,1,17037663839.757977,Anyang Xinpu Steel Co Ltd,36.163203,114.296223
Arvand Kaveh Steel Co,2000.0,1,1,1,,Arvand Kaveh Steel Khoramshahr plant,30.505458,48.272024
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000.0,1,1,1,2337622.9703656165,Inner Mongolia Yaxin Longshun Special Steel Co Ltd,40.689778,110.214707
Xuzhou Jinhong Iron and Steel Group Co Ltd,2000.0,1,1,1,62626478.12289046,Xuzhou Jinhong Iron and Steel Group Co Ltd,34.500122,116.908897
Fuzhou Wuhang Steel Products Co Ltd,2000.0,1,1,1,6512786661.363352,Fuzhou Wuhang Steel Products Co Ltd,25.995101,119.495725
Wuhai Baogang Wanteng Iron and Steel Co Ltd,2000.0,1,1,1,111523145.34028804,Wuhai Baogang Wanteng Iron and Steel Co Ltd,39.855971,106.886647
Wuhu Fuxin Iron & Steel Co Ltd,2000.0,1,1,1,203072621.1319695,Wuhu Fuxin Iron and Steel Co Ltd,31.194505,118.067833
Hebei Xinfeng High-pressure Flange and Pipe Fitting Co Ltd,2000.0,1,1,1,,Hebei Xinfeng Suez Canal Economic Zone steel complex,29.707611,32.28672
Cangzhou Lingang Sanling Metal Co Ltd,2000.0,1,1,1,90759574.23978685,Cangzhou Lingang Sanling Metal Co Ltd,38.311738,117.457779
Fujian Wuhang Stainless Steel Products Co Ltd,2000.0,1,1,1,6512786661.363352,Fujian Wuhang Stainless Steel Products Co Ltd,25.95923,119.452018
Hubei Shunle Iron and Steel Co Ltd,2000.0,1,1,1,96700424.06712171,Hubei Shunle Steel Co Ltd plant,29.925026,113.826118
Chizhou Guichi Guihang Metal Products Co Ltd,2000.0,1,1,1,189683194.67400867,Chizhou Guichi Guihang Metal Products Co Ltd,30.532786,117.25166
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000.0,1,1,1,20271489.796361625,Luzhou Xinyang Vanadium Titanium Steel Co Ltd,28.851779,105.70509
Surjagad Ispat Pvt Ltd,2000.0,1,1,1,1744300.2223284245,Surjagad Ispat Gadchiroli steel plant,19.487201,79.968551
BERIS Jiangsu Heavy Industry Co Ltd,2000.0,1,1,1,178113102.28059617,Zhongye Dongfang Jiangsu Heavy Industry Co Ltd,32.104319,119.792126
Star Infrastructure Development Corp,2000.0,1,1,1,,Star Consortium steel plant,22.774191,91.574601
Arcelormittal Sestao SL,2000.0,1,1,1,,ArcelorMittal Sestao steel plant,43.313144,-2.998964
Inner Mongolia (Naiman) Jingan Non-ferrous Metal Materials Co Ltd,2000.0,1,1,1,755333747.2342982,Hebei Bishi Inner Mongolia iron and steel plant,43.696186,122.219433
Tangshan Wenfeng Special Steel Co Ltd,2000.0,1,1,1,146526011.7107865,Tangshan Wenfeng Special Steel Co Ltd,39.146541,118.432261
Iranian Sirjan Steel Co,2000.0,1,1,1,,Sirjan Iranian Steel Kerman Plant,29.928062,56.736539
Shandong Longsheng Iron and Steel Co Ltd,2000.0,1,1,1,2852374041.5661826,Shandong Longsheng Iron and Steel Co Ltd,36.891189,118.187041
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,2000.0,1,1,1,,Ege Steel Aliaga plant,38.728005,26.940095
Acindar Industria Argentina de Aceros SA,2000.0,1,1,1,,ArcelorMittal Acindar Villa Constitución steel plant,-33.249936,-60.300415
Jiangsu Changqiang Iron & Steel Co Ltd,2000.0,1,1,1,5149260849.902505,Jiangsu Changqiang Iron and Steel Co Ltd,31.952064,120.189749
Guizhou United Steel (Group) Co Ltd,1990.0,1,1,1,288427354.33009654,Guizhou United Iron and Steel Group Co Ltd,27.591691,106.814024
Sev.en Global Investments AS,1970.0,2,2,1,,Se.ven GI Cardiff steel plant,51.479757,-3.137056
Shyam Steel Industries Ltd,1960.0,1,1,1,363171012.67553264,Shyam Steel Raghunathpur steel plant,23.590212,86.724603
Aceros Especiales Simec Tlaxcala SA de CV,1956.0,2,1,1,,Grupo Simec Apizaco Cholula steel plant,19.395628,-98.088777
Ezhou Hongtai Steel Co Ltd,1950.0,1,1,1,1723280956.9704273,Ezhou Hongtai Steel Co Ltd,30.532352,114.747597
Pavgord doo,1940.0,1,1,1,,Pavgord Zenica steel plant,44.224446,17.899815
Henan Changtai Stainless Steel Plate Co Ltd,1936.0,1,1,1,3849360572.403314,Henan Changtai Stainless Steel Plate Co Ltd,34.702951,112.955911
YK Steel Corp,1930.0,2,1,1,,YK Steel Dangjin plant,36.918106,126.643606
Zunyi Changling Special Steel Co Ltd,1925.0,1,1,1,3047624310.877063,Zunyi Changling Special Steel Co Ltd,27.614947,106.949752
Tangshan DELONG Steel Co Ltd,1920.0,1,1,1,218136816.73348233,Tangshan Delong Iron and Steel Co Ltd,39.19256,118.899533
Lucheng Xingbao Iron & Steel Co Ltd,1900.0,1,1,1,2719454994.077153,Changzhi Xingbao Steel Co Ltd,36.332449,113.15509
ShiGangJingCheng Equipment Development and Manufacturing Co Ltd,1900.0,1,1,1,758099574.9849542,ShiGangJingCheng Equipment Development and Manufacturing Co Ltd,40.626396,122.38884
Azna Steel,1900.0,1,1,1,,Azna Steel Lorestan plant,33.464353,49.391373
Angang Lianzhong Stainless Steel Corp,1900.0,1,1,1,23605391215.706425,Angang Lianzhong Stainless Steel Co Ltd,23.126822,113.505817
Shandong Minyuan Steel & Iron Co Ltd,1900.0,1,1,1,5882085161.067249,Shandong Minyuan Iron and Steel Co Ltd,36.728409,117.426582
Shandong Taigang Xinhai Stainless Steel Co Ltd,1860.0,1,1,1,374021532.01611346,Shandong Taigang Xinhai Stainless Steel Co Ltd,35.228556,119.084178
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",1860.0,1,1,1,218005645.09942687,Jilin Steel Group Fugang Metal Manufacturing Co Ltd,44.022802,125.505627
Hebei Huaxi Special Steel Co Ltd,1824.0,1,1,1,658638310.9064554,Hebei Huaxi Special Steel Co Ltd,39.260784,119.005925
Orissa Steel & Power Pvt Ltd,1804.0,1,1,1,47335285.52206003,Orissa Steel and Power Jhargram steel plant,22.3591,87.017184
Hbzx HIGH Tech Co Ltd,1800.0,1,1,1,11073664760.627905,Hebei Zhangxuan High Tech Co Ltd,40.607977,115.067516
Sichuan Shengquan Iron and Steel Group Co Ltd,1800.0,1,1,1,1180067619.3126886,Sichuan Shengquan Iron and Steel Group Co Ltd,31.255961,104.190612
Ecolant LLC,1800.0,1,1,1,,Ecolant steel plant,55.286989,42.169516
BES Brandenburger Elektrostahlwerke GmbH,1800.0,1,1,1,,Riva Brandenburg Electric Steel Works,52.402617,12.496135
Tangshan Fengnan Kaiheng Iron & Steel Co Ltd,1800.0,1,1,1,307330756.7732362,Tangshan Fengnan Kaiheng Iron and Steel Co Ltd,39.4632,118.247191
JO Steel Holdings PLC,1800.0,1,1,1,,JO Steel Holdings Ras Al Khair steel plant,27.491064,49.258418
Tianjin Tianfeng Steel Co Ltd,1800.0,1,1,1,805190129.0529438,Tianjin Tianfeng Steel Co Ltd,38.832642,117.102765
Nakayama Steel Works Ltd,1800.0,1,1,1,254812052510.10464,Nakayama Steel Works Osaka,34.628162,135.459688
Anshan Baode Iron & Steel Co Ltd,1800.0,1,1,1,4381066890.384275,Anshan Baode Iron and Steel Co Ltd,41.173613,122.945501
Ningxia Iron and Steel (Group) Co Ltd,1800.0,1,1,1,21396075.606333133,Ningxia Iron and Steel Group Co Ltd,37.503054,105.078348
Feng Hsin Steel Co Ltd,1800.0,1,1,1,,Feng Hsin Taichung Steel plant,24.31287,120.712774
G Steel PCL,1800.0,1,1,1,,Nippon Rayong Steel plant,12.793786,101.244592
Chongli Steel Manufacturing Co Ltd,1800.0,1,1,1,475205331.7791578,Chongli Steel Manufacturing Co Ltd,36.602468,113.755744
Nippon Steel Stainless Steel Corp,1799.0,2,1,1,1369220846.7925227,Nippon Stainless Steel Yamaguchi Works (Shunan Area) steel plant,34.059009,131.777221
Hezhou Zhaoxin Hardware Products Co Ltd,1750.0,1,1,1,90031801.82740928,Guangxi Guixin Iron and Steel Intelligent Manufacturing Co Ltd,23.978567,111.735529
Fuhai Group New Energy Holding Co Ltd,1750.0,1,1,1,,Fuhai Indonesia steel plant,-1.556636,103.679366
Baotou Deshun Spec. Steel Co Ltd,1750.0,1,1,1,1018690.4685914837,Baotou Deshun Special Steel Co Ltd,40.9019,110.336253
Republic Steel Corp,1727.0,2,1,1,,Republic Steel Lorain steel plant,41.450358,-82.131125
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,1725.0,2,1,1,14775761.727532735,Guangxi Guifeng Special Steel Co Ltd,23.987136,111.914197
Libyan Iron and Steel Co,1710.0,1,1,1,,Libyan Iron and Steel Misrata plant,32.335185,15.215053
Xuzhou TaiFa Special Steel Technology Co Ltd,1700.0,1,1,1,279149401.67212856,Xuzhou Taifa Special Steel Group Co Ltd,34.448514,117.271876
Chengde Zhaofeng Steel Group Co Ltd,1700.0,1,1,1,25938154.368309747,Chengde Zhaofeng Steel Group Co Ltd,40.593875,118.633334
Outokumpu Stainless AB,1700.0,2,2,1,,Outokumpu Tornio steel plant,65.767115,24.176472
Xuzhou Baofeng Special Steel Co Ltd,1700.0,1,1,1,1369908468.9113462,Xuzhou Baofeng Special Steel Co Ltd,34.364872,117.322633
Yunnan Jingye Steel Co,1700.0,1,1,1,59127258.8221577,Yunnan Jingye Steel Co Ltd,25.023852,102.312086
Public Investment Fund (Saudi Arabia); Baoshan Iron & Steel Co Ltd; Saudi Arabian Oil Co,1700.0,1,1,1,,BAP Al-Khair steel plant,27.502597,49.180369
Tangshan Jianlong Steel SPECIAL Steel Co Ltd,1700.0,1,1,1,3405149508.8777,Tangshan Jianlong Special Steel Co Ltd,40.167686,117.964004
CMC Poland SP zoo,1700.0,1,1,1,,CMC Zawiercie steel plant,50.487463,19.456759
Tongshan Liguo Iron and Steel Co Ltd,1700.0,1,1,1,261090607.59518936,Tongshan Liguo Iron and Steel Co Ltd,34.55486,117.327039
Licheng Taihang Iron & Steel Co Ltd,1700.0,1,1,1,231213739.23506635,Licheng Taihang Iron and Steel Co Ltd,36.472303,113.344155
Kurum International ShA,1700.0,1,1,1,,Kurum International Elbasan steel plant,41.094611,20.026117
Yuxi Huixi Metal Casting Products Co Ltd,1700.0,1,1,1,1153461107.3559847,Yuxi Huixi Metal Casting Products Co Ltd,24.360481,102.481118
Godo Steel Ltd,1700.0,3,1,1,176002564914.40576,Godo Steel Funabashi Works,35.697541,139.964104
Sterling Steel Co LLC,1698.0,1,1,1,,Leggett & Platt Sterling Steel plant,41.785971,-89.710947
Egyptian Steel Group,1660.0,2,1,1,,Egyptian Steel Ain Sokhna plant,29.64769,32.2789
Talleres y Aceros SA de CV,1650.0,1,1,1,,TYASA steel plant,18.869272,-97.047263
UMB Steel SRL,1650.0,2,1,1,,Otelu Rosu steel plant,45.512949,22.339896
Hebei YongYang Special Steel Group Co Ltd,1610.0,1,1,1,364664534.1041899,Hebei Yongyang Special Steel Group Co Ltd,36.786851,114.376132
Abinski Elektrometallurgicheski Zavod LLC,1600.0,1,1,1,,Abinsk Electric Steel Works,44.881938,38.12751
Shri Bajrang Power and Ispat Ltd,1600.0,1,1,1,450845929.98527956,Shri Bajrang Power & Ispat Tilda steel plant,21.48619,81.771697
Jiangsu Xingda Steel Group Co Ltd,1600.0,1,1,1,261090607.59518936,Jiangsu Xingda Steel Group,34.501981,117.316278
Chubu Steel Plate Co Ltd,1600.0,1,1,1,176716694372.9768,Chubu Steel Plate Nagoya plant,35.118836,136.867567
Jianglong Acheng Iron & Steel Co Ltd,1600.0,1,1,1,3851213851.5239058,Jianglong Acheng Iron and Steel Co Ltd,45.562002,126.968128
West Alborz Steel Co,1600.0,1,1,1,,West Alborz Ana Steel Zanjan plant,36.119574,49.306253
North American Stainless Inc,1600.0,1,1,1,,North American Stainless Ghent steel plant,38.725418,-85.076015
Hebei Baoxin Iron and Steel Group Co Ltd,1600.0,1,1,1,1340340843.3454995,Hebei Baoxin Iron and Steel Group Co Ltd,36.555205,114.108273
Sanyo Special Steel Co Ltd,1596.0,1,1,1,12333371034.581137,Nippon Sanyo Special Steel,34.788074,134.672046
Baicheng Fuda Bar Rolling Co Ltd,1588.0,1,1,1,4030918213.477184,Baicheng Fuda Bar Rolling Co Ltd,45.593303,122.895588
Natanz Steel Co,1583.0,1,1,1,,Natanz Steel Company Isfahan plant,33.428593,51.982273
Jiangsu HONGTAI Metals Ware Co Ltd,1576.0,1,1,1,3200493895.461697,Jiangsu Hongtai Iron and Steel Co Ltd,32.138393,119.554693
Malaysia Steel Works (KL) Bhd,1550.0,1,1,1,,Malaysia Steel Works Klang steel plant,3.077835,101.46448
Xinjiang Xin'an Special Steel Co Ltd,1550.0,1,1,1,2447855.543441533,Xinjiang Xinan Special Steel Co Ltd,44.290299,86.595826
Infrabuild Australia Pty Ltd,1530.0,2,1,1,,GFG Liberty Laverton Steel Mill,-37.831379,144.788169
Ningxia Boyu Hongxing Special Steel Group Co Ltd,1520.0,1,1,1,1044069289.8932406,Ningxia Boyu Hongxing Special Steel Group Co,39.273832,106.75146
Kalyani Steels Ltd,1509.0,1,1,1,319583186.94651854,Kalyani Steels Dhenkanal steel plant,20.601819,85.594653
Jilin Jingang Lron and Steel Co Ltd,1500.0,1,1,1,7056524178.650425,Jilin Jingang Iron and Steel Co Ltd,43.20023,124.335697
Jiangyin Huaxi Steel Co Ltd,1500.0,1,1,1,10086515908.61508,Jiangyin Huaxi Iron and Steel Co Ltd,31.816482,120.424347
JSW Steel USA Ohio Inc,1500.0,1,1,1,,JSW Steel USA Ohio plant,40.314891,-80.605553
Danyang Longjiang Steel Co Ltd,1500.0,1,1,1,5805245295.940704,Danyang Longjiang Steel Co Ltd,32.027791,119.57706
Tanshan Iron and Steel,1500.0,1,1,1,,Tangshan Iron and Steel Kim Chaek plant,40.67524,129.201745
Hyron Africa,1500.0,1,1,1,,HyIron Steel Namibia plant,-22.084183,17.4099154
